address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"8, 15th Main, 5th Phase, JP Nagar, Bangalore",TAB - Take A Break,No,No,4.1/5,521,JP Nagar,Cafe,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea","Cafe, Continental, Italian",550,Cafes,Bannerghatta Road
"114, Kothanur Main Road, Santrupthi Nagar, 7th Phase, JP Nagar, Bangalore",Biggies Burger 'n' More,Yes,No,4.1/5,203,JP Nagar,"Quick Bites, Cafe","Burgers, Mojito, Lamb Burger, French Fries, Hot Dog, Bbq Burger, Wedges","Cafe, Burger, Beverages",650,Cafes,Bannerghatta Road
"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",Onesta,Yes,Yes,4.4/5,4381,JP Nagar,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza","Pizza, Cafe, Italian",600,,
"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",Cafe Potpourri,Yes,No,3.7/5,131,JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400,Cafes,Bannerghatta Road
"18, K.R Layout, Dollar Colony, 4th Phase, JP Nagar",De Oxford Cafe,No,No,3.7/5,34,JP Nagar,Cafe,,"Cafe, Beverages, Fast Food",500,Cafes,Bannerghatta Road
"Someshwara Bhavan, RBI Layout, 7th Phase, Kothnur Main Road, JP Nagar, Bangalore",Vinaya Coffee Moments,Yes,No,3.7/5,46,JP Nagar,Cafe,"Filter Coffee, Pizza, Pasta","Burger, Cafe, Desserts, Sandwich, Italian",450,Cafes,Bannerghatta Road
"10/3, Shamanna Garden, 22nd Main Rd, Phase 5, JP Nagar, Bangalore",Brew Point,Yes,No,3.6/5,10,JP Nagar,Cafe,,"Cafe, American, Burger, Sandwich, Fast Food",500,Cafes,Bannerghatta Road
"296, Ground Floor, 5th Phase, 100 ft Outer Ring Road, JP Nagar, Bangalore",The Cravery,Yes,No,2.6/5,18,JP Nagar,Cafe,,"Continental, Burger, Beverages, Cafe, Italian, Rolls",500,Cafes,Bannerghatta Road
"46/A, 1st Main, 3rd Phase, JP Nagar, Bangalore",Cuppa,No,No,3.4/5,48,JP Nagar,Cafe,"Coffee, Potato Wedges, Tea","Cafe, Fast Food",550,Cafes,Bannerghatta Road
"Brigade Millenium Inside Indian Music Experience Museum, JP Nagar, Bangalore, Bengaluru",Anju's Cafe,No,No,3.4/5,6,JP Nagar,Cafe,,"Cafe, North Indian",600,Cafes,Bannerghatta Road
"81, 7th Main, 5th Cross, Bank of Baroda Colony, 7th Phase, JP Nagar, Bangalore",Furry Fairy Paw Paradise,No,No,,0,JP Nagar,Cafe,,Cafe,500,Cafes,Bannerghatta Road
"724, 3rd Floor, RBI Layout, Rini Pearl, Opposite E.K. Retail, 7th Phase, JP Nagar, Bangalore",Skytouch Le Cafe,Yes,No,3.7/5,127,JP Nagar,Cafe,"Pizza, Pasta, Bubble Tea, Brownie, Pancakes, Cheesy Garlic Bread, Chocolate Waffles","Cafe, Italian, Desserts",700,Cafes,Bannerghatta Road
"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",Woodee Pizza,Yes,No,2.7/5,85,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500,Cafes,Bannerghatta Road
"18, 3rd Floor, 2nd Cross, NS Palya, Industrial Layout, BTM, Bangalore",Hearts Unlock Cafe,No,No,3.2/5,11,BTM,Cafe,,"Cafe, Healthy Food",500,Cafes,Bannerghatta Road
"G-3,1210,16th Main Road, Opposite IS Colony Park, 2nd Stage, BTM, Bangalore",Kullad Cafe,Yes,No,3.9/5,326,BTM,Cafe,"Poha, Coffee, Chai, Rolls, Ginger Tea, Aloo Paratha, Elaichi Tea","North Indian, Cafe, Fast Food, Beverages",200,Delivery,Bannerghatta Road
"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",Onesta,Yes,Yes,4.4/5,4381,JP Nagar,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza","Pizza, Cafe, Italian",600,,
"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",Cafe Potpourri,Yes,No,3.7/5,131,JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400,Delivery,Bannerghatta Road
"240, 7th cross, 1st Main, Mico Layout, Opposite Sate Bank of India, 2nd Stage, BTM Bangalore",PHEW (Play Hard Eat Wild),Yes,Yes,3.9/5,486,BTM,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700,Delivery,Bannerghatta Road
"128/54/10, Ground Floor, Opposite IIM - B, above A2B Dasarapalya, Bannerghatta Road, Bangalore",Dreamcatcher,Yes,No,3.9/5,49,Bannerghatta Road,Cafe,"English Breakfast, Sandwiches",Cafe,600,Delivery,Bannerghatta Road
"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",Slate Cafe,Yes,No,4.1/5,46,JP Nagar,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",600,Delivery,Bannerghatta Road
"24th Main, 2nd Cross, 2nd Phase, JP Nagar, Bangalore",Pancuzzi,Yes,No,4.2/5,169,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake","Cafe, Beverages, Desserts",600,Delivery,Bannerghatta Road
"524, 60 Feet Road,Vijaya Bank Layout, Opposite Police Station, Belekahalli, Bannerghatta Road, Bangalore",Cafe Coffee Day,Yes,No,3.7/5,26,Bannerghatta Road,Cafe,,"Cafe, Fast Food",900,Delivery,Bannerghatta Road
"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",#refuel,Yes,No,3.7/5,37,Bannerghatta Road,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails","Cafe, Beverages",400,Delivery,Bannerghatta Road
"114, Kothanur Main Road, Santrupthi Nagar, 7th Phase, JP Nagar, Bangalore",Biggies Burger 'n' More,Yes,No,4.1/5,203,JP Nagar,"Quick Bites, Cafe","Burgers, Mojito, Lamb Burger, French Fries, Hot Dog, Bbq Burger, Wedges","Cafe, Burger, Beverages",650,Delivery,Bannerghatta Road
"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",Butterly,Yes,No,3.9/5,102,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450,Delivery,Bannerghatta Road
"1304, 1st Floor, 9th Cross, 20th Main, 2nd Phase, JP Nagar, Bangalore",Crafted Plate,Yes,Yes,4.2/5,237,JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600,Delivery,Bannerghatta Road
"1-2, Near Bhaganagar Bus Stop, Shankarnaga Road, Bhaganagar Layout, Gottigere, Bannerghatta Road, Bangalore",Black Mug Cafe,Yes,No,3.7/5,171,Bannerghatta Road,Cafe,Coffee,Cafe,300,Delivery,Bannerghatta Road
"Someshwara Bhavan, RBI Layout, 7th Phase, Kothnur Main Road, JP Nagar, Bangalore",Vinaya Coffee Moments,Yes,No,3.7/5,46,JP Nagar,Cafe,"Filter Coffee, Pizza, Pasta","Burger, Cafe, Desserts, Sandwich, Italian",450,Delivery,Bannerghatta Road
"Sai Plaza, 7th Cross Road, 2nd Stage, BTM, Bangalore",Trippy Paradise,Yes,No,2.6/5,59,BTM,Cafe,,Cafe,900,Delivery,Bannerghatta Road
"458, 2nd Main Road, Mico Layout, Stage 1, BTM, Bangalore",Bun Town,Yes,No,4.0/5,203,BTM,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Donut, Cup Cake","Cafe, Bakery",500,Delivery,Bannerghatta Road
"97, Wilson Garden Housing Society, 7th Phase, JP Nagar, Bangalore",Cafe Zuppa,Yes,No,NEW,0,JP Nagar,Cafe,,"Cafe, Pizza, Fast Food",450,Delivery,Bannerghatta Road
"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",Woodee Pizza,Yes,No,2.7/5,85,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500,Delivery,Bannerghatta Road
"Kembathahalli Road, Gottigere, Near Bannerghatta Main Road, Bannerghatta Road, Bangalore",Tisano Cafe,Yes,No,3.8/5,54,Bannerghatta Road,Cafe,,"Cafe, Fast Food, Chinese, Continental",500,Delivery,Bannerghatta Road
"268, 6th Main, 2nd Stage, BTM, Bangalore",On The Nose,Yes,No,3.8/5,613,BTM,Cafe,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup","Cafe, Italian, Mexican, Chinese",600,Delivery,Bannerghatta Road
"10/3, Shamanna Garden, 22nd Main Rd, Phase 5, JP Nagar, Bangalore",Brew Point,Yes,No,3.6/5,10,JP Nagar,Cafe,,"Cafe, American, Burger, Sandwich, Fast Food",500,Delivery,Bannerghatta Road
"294, 4th Floor, 7th Main, 7th Cross, Mico Employees Griha Nirmana Sangha Layout, 2nd Stage, BTM, Bangalore",Ruh's Cafe,Yes,No,4.1/5,463,BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese",500,Delivery,Bannerghatta Road
"767-768, 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bangalore",Eatery Have U Been,Yes,No,3.4/5,36,BTM,"Cafe, Quick Bites",,"Cafe, Chinese, Fast Food, Burger, North Indian",500,Delivery,Bannerghatta Road
"23, 3rd Floor, 26th Main Road, Opposite Ragigudda Arch, 9th Block Jayanagar, Bangalore",Willys Top Cafe,Yes,No,4.0/5,308,Jayanagar,Cafe,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries","Cafe, Continental, Asian",750,Delivery,Bannerghatta Road
"81/3/4, 5th Cross, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Brews N Bites,Yes,No,2.7/5,48,Bannerghatta Road,"Quick Bites, Cafe",Thin Crust Pizza,"Chinese, Fast Food, Cafe, Street Food, Finger Food",650,Delivery,Bannerghatta Road
"724, 3rd Floor, RBI Layout, Rini Pearl, Opposite E.K. Retail, 7th Phase, JP Nagar, Bangalore",Skytouch Le Cafe,Yes,No,3.7/5,127,JP Nagar,Cafe,"Pizza, Pasta, Bubble Tea, Brownie, Pancakes, Cheesy Garlic Bread, Chocolate Waffles","Cafe, Italian, Desserts",700,Delivery,Bannerghatta Road
"44-45, Terrace Floor, 24th Main Road, 7th phase, JP Nagar, Bangalore",Mudpipe Cafe,Yes,Yes,3.9/5,727,JP Nagar,Cafe,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers","Cafe, Continental, North Indian",800,Delivery,Bannerghatta Road
"227,Sitaram Complex, Bilekahalli,opp to IIM-B, Bannerghatta Road, Bangalore",Vaho Kafe & Pressery,No,No,3.9/5,125,Bannerghatta Road,Cafe,"Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta","Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",500,Delivery,Bannerghatta Road
"1318, Near Bangalore Central, 2nd Phase, JP Nagar, Bangalore",D View Cafe,Yes,No,4.0/5,507,JP Nagar,"Cafe, Quick Bites","Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages","1,000",Delivery,Bannerghatta Road
"296, Ground Floor, 5th Phase, 100 ft Outer Ring Road, JP Nagar, Bangalore",The Cravery,Yes,No,2.6/5,18,JP Nagar,Cafe,,"Continental, Burger, Beverages, Cafe, Italian, Rolls",500,Delivery,Bannerghatta Road
"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,No,No,3.8/5,69,Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700,Delivery,Bannerghatta Road
"80, 2nd Main,1st Cross, 2nd Stage, BTM, Bangalore",Brewz Coffee,Yes,No,3.0/5,61,BTM,Cafe,"Coffee, Sandwiches, Cappuccino",Cafe,650,Delivery,Bannerghatta Road
"225/226, Omkar Nagar, Arkere, Above Arekere Canara Bank, Bannerghatta Road, Bangalore",Shee-Sha Cafe,No,Yes,3.6/5,39,Bannerghatta Road,"Cafe, Casual Dining",,"Cafe, North Indian, Chinese, Continental",800,Delivery,Bannerghatta Road
"173/218, GF, Opposite Ranka Colony, Bannerghatta Road, Bangalore",D2V Cafe,No,No,3.6/5,13,Bannerghatta Road,Cafe,,Cafe,700,Delivery,Bannerghatta Road
"B/1, Beside Airtel Office, Ground Floor, KEB Colony, Bannerghatta Road, Bengaluru",Wellness Cafe,No,No,,0,Bannerghatta Road,Cafe,,"Cafe, Healthy Food",400,Delivery,Bannerghatta Road
"A-3, Ranka Colony Road, Bilakhalli, Bannerghatta Road",Cafe Choco Craze,No,No,3.7/5,9,Bannerghatta Road,Cafe,,"Cafe, Fast Food, Desserts",400,Delivery,Bannerghatta Road
"1092, Murudewar Building,4th Floor,Opposite Mega Mart,9th Block, Jayanagar, Bangalore",Restro Cafe,Yes,No,3.8/5,30,Jayanagar,Cafe,,Cafe,400,Delivery,Bannerghatta Road
"18, 3rd Floor, 2nd Cross, NS Palya, Industrial Layout, BTM, Bangalore",Hearts Unlock Cafe,No,No,3.2/5,11,BTM,Cafe,,"Cafe, Healthy Food",500,Delivery,Bannerghatta Road
"81, 7th Main, 5th Cross, Bank of Baroda Colony, 7th Phase, JP Nagar, Bangalore",Furry Fairy Paw Paradise,No,No,,0,JP Nagar,Cafe,,Cafe,500,Delivery,Bannerghatta Road
"1346, Marenahalli Road, KSRTC Layout, Near Bangalore Central Mall, 2nd Phase, JP Nagar, Bangalore",Cafe Mist,Yes,No,3.8/5,186,JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian",500,Delivery,Bannerghatta Road
"18, 7th Main Road, NS Palya, Stage 2, BTM, Bangalore",Insta Cafe,Yes,No,2.9/5,7,BTM,Cafe,,"Cafe, Continental, Pizza, Italian, Beverages",400,Delivery,Bannerghatta Road
"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",Butterly,Yes,No,3.9/5,102,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450,Desserts,Bannerghatta Road
"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,No,No,3.8/5,69,Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700,Desserts,Bannerghatta Road
"A-3, Ranka Colony Road, Bilakhalli, Bannerghatta Road",Cafe Choco Craze,No,No,3.7/5,9,Bannerghatta Road,Cafe,,"Cafe, Fast Food, Desserts",400,Desserts,Bannerghatta Road
"524, 60 Feet Road,Vijaya Bank Layout, Opposite Police Station, Belekahalli, Bannerghatta Road, Bangalore",Cafe Coffee Day,Yes,No,3.7/5,26,Bannerghatta Road,Cafe,,"Cafe, Fast Food",900,Desserts,Bannerghatta Road
"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",Slate Cafe,Yes,No,4.1/5,46,JP Nagar,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",600,Desserts,Bannerghatta Road
"97, Wilson Garden Housing Society, 7th Phase, JP Nagar, Bangalore",Cafe Zuppa,Yes,No,NEW,0,JP Nagar,Cafe,,"Cafe, Pizza, Fast Food",450,Desserts,Bannerghatta Road
"8, 15th Main, 5th Phase, JP Nagar, Bangalore",TAB - Take A Break,No,No,4.1/5,521,JP Nagar,Cafe,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea","Cafe, Continental, Italian",550,Desserts,Bannerghatta Road
"Kembathahalli Road, Gottigere, Near Bannerghatta Main Road, Bannerghatta Road, Bangalore",Tisano Cafe,Yes,No,3.8/5,54,Bannerghatta Road,Cafe,,"Cafe, Fast Food, Chinese, Continental",500,Dine-out,Bannerghatta Road
"1, Pai Layout, Hulimavu Gate Main Road, Off Bannerghatta Road, Bangalore.",Cafe Kabana,No,Yes,4.0/5,200,Bannerghatta Road,Cafe,"Mocktails, Peri Peri Chicken Pizza, Wings, Pasta, English Breakfast, Fries, Jalapeno Cheeseballs","Cafe, Continental",700,Dine-out,Bannerghatta Road
"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",Butterly,Yes,No,3.9/5,102,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450,Dine-out,Bannerghatta Road
"2, Hill Crest, House Of Hiranandani, Akshayanagar, Bannerghatta Road, Bangalore",Cafe Conico,No,No,NEW,0,Bannerghatta Road,Cafe,,"Cafe, Beverages",600,Dine-out,Bannerghatta Road
"1-2, Near Bhaganagar Bus Stop, Shankarnaga Road, Bhaganagar Layout, Gottigere, Bannerghatta Road, Bangalore",Black Mug Cafe,Yes,No,3.7/5,171,Bannerghatta Road,Cafe,Coffee,Cafe,300,Dine-out,Bannerghatta Road
"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",#refuel,Yes,No,3.7/5,37,Bannerghatta Road,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails","Cafe, Beverages",400,Dine-out,Bannerghatta Road
"227,Sitaram Complex, Bilekahalli,opp to IIM-B, Bannerghatta Road, Bangalore",Vaho Kafe & Pressery,No,No,3.9/5,124,Bannerghatta Road,Cafe,"Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta","Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",500,,
"128/54/10, Ground Floor, Opposite IIM - B, above A2B Dasarapalya, Bannerghatta Road, Bangalore",Dreamcatcher,Yes,No,3.9/5,49,Bannerghatta Road,Cafe,"English Breakfast, Sandwiches",Cafe,600,Dine-out,Bannerghatta Road
"Gopalan Innovation Mall, Bannerghatta Road, Bangalore",Cafe Coffee Day,No,No,3.6/5,19,Bannerghatta Road,Cafe,,"Cafe, Fast Food",900,Dine-out,Bannerghatta Road
"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,No,No,3.8/5,69,Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700,Dine-out,Bannerghatta Road
"Vega City, Dollars Colony, Bannerghatta Road, Bangalore",Starbucks,No,No,3.9/5,52,Bannerghatta Road,Cafe,,"Cafe, Desserts",700,Dine-out,Bannerghatta Road
"225/226, Omkar Nagar, Arkere, Above Arekere Canara Bank, Bannerghatta Road, Bangalore",Shee-Sha Cafe,No,Yes,3.6/5,39,Bannerghatta Road,"Cafe, Casual Dining",,"Cafe, North Indian, Chinese, Continental",800,Dine-out,Bannerghatta Road
"173/218, GF, Opposite Ranka Colony, Bannerghatta Road, Bangalore",D2V Cafe,No,No,3.6/5,13,Bannerghatta Road,Cafe,,Cafe,700,Dine-out,Bannerghatta Road
"B/1, Beside Airtel Office, Ground Floor, KEB Colony, Bannerghatta Road, Bengaluru",Wellness Cafe,No,No,,0,Bannerghatta Road,Cafe,,"Cafe, Healthy Food",400,Dine-out,Bannerghatta Road
"6, 3rd Floor, Above Bandhan Bank, Gurupanapalya, Bannerghatta Road, Bangalore",Cafe Talk,No,No,3.3/5,14,Bannerghatta Road,"Cafe, Casual Dining",,"Cafe, Continental, North Indian, Bakery, Desserts",700,Dine-out,Bannerghatta Road
"A-3, Ranka Colony Road, Bilakhalli, Bannerghatta Road",Cafe Choco Craze,No,No,3.7/5,9,Bannerghatta Road,Cafe,,"Cafe, Fast Food, Desserts",400,Dine-out,Bannerghatta Road
"81/3/4, 5th Cross, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Brews N Bites,Yes,No,2.7/5,48,Bannerghatta Road,"Quick Bites, Cafe",Thin Crust Pizza,"Chinese, Fast Food, Cafe, Street Food, Finger Food",650,Dine-out,Bannerghatta Road
"44-45, Terrace Floor, 24th Main Road, 7th phase, JP Nagar, Bangalore",Mudpipe Cafe,Yes,Yes,3.9/5,727,JP Nagar,Cafe,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers","Cafe, Continental, North Indian",800,Dine-out,Bannerghatta Road
"Amoolya, 1st Floor, 24th Main, 6th Phase, JP Nagar, Bangalore",Crave Bit Cafe,No,No,NEW,0,JP Nagar,Cafe,,Cafe,600,Dine-out,Bannerghatta Road
"8, 15th Main, 5th Phase, JP Nagar, Bangalore",TAB - Take A Break,No,No,4.1/5,521,JP Nagar,Cafe,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea","Cafe, Continental, Italian",550,Dine-out,Bannerghatta Road
"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",Onesta,Yes,Yes,4.4/5,4381,JP Nagar,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza","Pizza, Cafe, Italian",600,Dine-out,Bannerghatta Road
"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",Cafe Potpourri,Yes,No,3.7/5,132,JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400,Dine-out,Bannerghatta Road
"18, K.R Layout, Dollar Colony, 4th Phase, JP Nagar",De Oxford Cafe,No,No,3.7/5,34,JP Nagar,Cafe,,"Cafe, Beverages, Fast Food",500,Dine-out,Bannerghatta Road
"Someshwara Bhavan, RBI Layout, 7th Phase, Kothnur Main Road, JP Nagar, Bangalore",Vinaya Coffee Moments,Yes,No,3.8/5,46,JP Nagar,Cafe,"Filter Coffee, Pizza, Pasta","Burger, Cafe, Desserts, Sandwich, Italian",450,Dine-out,Bannerghatta Road
"10/3, Shamanna Garden, 22nd Main Rd, Phase 5, JP Nagar, Bangalore",Brew Point,Yes,No,3.6/5,10,JP Nagar,Cafe,,"Cafe, American, Burger, Sandwich, Fast Food",500,Dine-out,Bannerghatta Road
"296, Ground Floor, 5th Phase, 100 ft Outer Ring Road, JP Nagar, Bangalore",The Cravery,Yes,No,2.6/5,18,JP Nagar,Cafe,,"Continental, Burger, Beverages, Cafe, Italian, Rolls",500,Dine-out,Bannerghatta Road
"46/A, 1st Main, 3rd Phase, JP Nagar, Bangalore",Cuppa,No,No,3.4/5,48,JP Nagar,Cafe,"Coffee, Potato Wedges, Tea","Cafe, Fast Food",550,Dine-out,Bannerghatta Road
"Brigade Millenium Inside Indian Music Experience Museum, JP Nagar, Bangalore, Bengaluru",Anju's Cafe,No,No,3.4/5,6,JP Nagar,Cafe,,"Cafe, North Indian",600,Dine-out,Bannerghatta Road
"724, 3rd Floor, RBI Layout, Rini Pearl, Opposite E.K. Retail, 7th Phase, JP Nagar, Bangalore",Skytouch Le Cafe,Yes,No,3.7/5,127,JP Nagar,Cafe,"Pizza, Pasta, Bubble Tea, Brownie, Pancakes, Cheesy Garlic Bread, Chocolate Waffles","Cafe, Italian, Desserts",700,Dine-out,Bannerghatta Road
"18, 3rd Floor, 2nd Cross, NS Palya, Industrial Layout, BTM, Bangalore",Hearts Unlock Cafe,No,No,3.2/5,11,BTM,Cafe,,"Cafe, Healthy Food",500,Dine-out,Bannerghatta Road
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Buffet,Basavanagudi
"433/3/1, 4th Floor, 28th Cross, 10th Main, 4th Block, Jayanagar, Bangalore",Cafe Cosy,No,Yes,4.1/5,102,Jayanagar,Cafe,"Pasta, Pizza, Mocktails","Cafe, Chinese, Continental, Fast Food",800,Cafes,Basavanagudi
"90/66, 1st Floor, Gandhi Bazar Main Road, Basavanagudi, Bangalore",Onesta,Yes,Yes,4.6/5,1755,Basavanagudi,"Casual Dining, Cafe","Barbeque Chicken Pizza, Mushroom Ravioli, Pasta, Lasagne, Berryblast, Mocktails, Potato Wedges","Pizza, Cafe, Italian",600,Cafes,Basavanagudi
"166/A 2nd Floor, R.V Road, Above DTDC Office, V.V Puram, Near Minerva Circle, Basavanagudi, Bangalore",Steaming Mugs,Yes,No,3.9/5,240,Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700,Cafes,Basavanagudi
"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Basavanagudi
"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Redberrys,Yes,No,4.0/5,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Cafes,Basavanagudi
